"Rank","Name","Symbol","marketcap","price (USD)","country"
"190","Mynet","3928.T","17988557","2.13573","Japan"
"191","Gaming Factory","GIF.WA","17306760","3.07528","Poland"
"192","AltPlus","3672.T","16824274","0.807256","Japan"
"193","Edia","3935.T","14840263","2.42177","Japan"
"194","Mobcast","3664.T","14754339","0.33053","Japan"
"195","Ultimate Games","ULG.WA","14555101","2.783","Poland"
"196","GigaMedia","GIGM","14146816","1.28","Taiwan"
"197","Forgame","0484.HK","14134184","0.0985991","China"
"198","LL Lucky Games","LADYLU.ST","13666464","0.0476768","Sweden"
"199","Thunderful Group","THUNDR.ST","13086395","0.186176","Sweden"
"200","Axel Mark","3624.T","12045546","1.13143","Japan"
"201","Netmarble Joybomb","6468.TWO","10795915","0.94","Taiwan"
"202","CMON","1792.HK","10545445","0.00486593","Singapore"
"203","Sino-Entertainment Technology","6933.HK","10517828","0.0253541","China"
"204","Voltage","3639.T","10491010","1.63358","Japan"
"205","Mighty Kingdom","MKL.AX","8629806","0.00268345","Australia"
"206","GAME HOURS","6626.TWO","8452476","0.311016","Taiwan"
"207","Motorsport Gaming","MSGM","7940733","2.32","United States"
"208","Nitro Games","NITRO.ST","7765234","0.311551","Finland"
"209","Maximum Entertainment","8R7.F","5841712","0.0697624","Sweden"
"210","Gaming Corps","GCOR.ST","5557988","0.0800593","Sweden"
"211","ManyDev Studio","MAN.WA","5112083","0.226198","Poland"
"212","Gamer Pakistan","GPAK","4811466","0.1881","United States"
"213","Playgon Games","DEAL.V","4428983","0.0145952","Canada"
"214","Vivid Games","VVD.WA","4069983","0.126061","Poland"
"215","Versus Systems","VS","4034692","1.61","Canada"
"216","PunkPirates","PUN.WA","3942991","0.13","Poland"
"217","Fragbite Group","FRAG.ST","3660829","0.00448445","Sweden"
"218","Gameone","8282.HK","2351013","0.0653059","Hong Kong"
"219","Playground Ventures","PLAY.CN","2049407","0.0255417","Canada"
"220","Solid Clouds","SOLID.IC","1822025","0.00989156","Iceland"
"221","Virtual Interactive Technologies","VRVR","1650256","0.2","Bermuda"
"222","Qiiwi Games","QIIWI.ST","1641691","0.17749","Sweden"
"223","Sozap","SOZAP.ST","1574624","0.0708072","Sweden"
"224","T-Bull","TBL.WA","1379013","1.16049","Poland"
"225","Tapinator","TAPM","1308211","0.48","United States"
"226","Freeze Tag","FRZT","1275953","0.017","United States"
"227","Kuuhubb","KUU.V","712506","0.01","Canada"
"228","iEntertainment Network","IENT","549654","0.0042","United States"
"229","Super League Gaming","SLGG","291827","0.0856","United States"
"230","The NFT Gaming Company","NFTG","272488","0.2501","United States"
"231","Gaming Technologies (Gametech)","GMGT","4570","0.0001","United States"
